bucket,k6_reqs,k6_fail_pct,k6_p50_ms,k6_p90_ms,k6_p95_ms,k6_p99_ms,k6_max_ms,k6_rps,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_parent_threshold_text-service,Combined_CPU_Utilization_Child__Parent__HPA_parent_threshold_user-mention,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
0,16.25,0.0,24.151055324999998,42.34599417,57.675196479999975,97.09718319024996,110.81811372499999,1.625,0.03331367788442788,0.03517203874712338,0.05818472001995635,1.0,1.0,1.0,0.009770694187871602,0.0072853717321676075,50.0,50.0,50.0,0.013340432208897562,0.006200956166845655,0.008369787297489573,50.0,1.00595703125,0.98359375,1.64609375,0.7859039306640625,0.7684326171875,1.2860107421875
1,71.075,0.0,9.1250807875,12.062605727500001,13.30359055,18.589791548499974,24.42325005,7.1075,0.06473930153344355,0.05952038959705983,0.0816915876768664,1.0,1.0,1.0,0.1362982775999837,0.1147472303466704,50.0,50.0,50.0,0.1564165668036507,0.11617998839631667,0.11331447229702415,50.0,1.19541015625,1.05830078125,1.71181640625,0.9339141845703125,0.8267974853515625,1.3373565673828125
2,131.075,0.0,9.0692743625,10.370340262500001,11.761092998749998,22.678331508999996,35.810816375,13.107499999999998,0.38968343219110707,0.20755318890357458,0.15057562062163493,1.0,1.0,1.0,1.1622445879621972,0.5929157314535861,50.0,50.0,50.0,1.5578493073163684,0.7666398686080265,0.4191915942991459,50.0,1.814453125,1.17373046875,1.80341796875,1.41754150390625,0.9169769287109375,1.4089202880859375
3,185.6,0.0,8.82029285,10.845943272500003,16.147301783749985,40.743830642750005,57.252026675,18.56,1.143843668804485,0.611103617593576,0.4317444324792225,1.0,1.0,1.0,3.7569841225083858,2.1353577599890183,50.0,50.0,50.0,4.925221487453179,2.5887467575635914,1.6819687624144453,50.0,2.3427734375,1.25966796875,1.8849609375,1.830291748046875,0.9841156005859375,1.472625732421875
4,221.525,0.0,16.360014175,127.72864596500003,187.70596624374994,298.46808969424995,349.6816906,22.1525,2.346485419468063,1.274957354432187,0.9037447834106371,1.0,1.0,1.0,7.928840501789956,4.649540271150597,50.0,50.0,50.0,10.361884052418713,5.4957969511612,3.8032835911399934,50.0,2.48720703125,1.29091796875,1.92548828125,1.9431304931640625,1.0085296630859375,1.5042877197265625
5,197.875,10.956361133645315,853.8624608875,2752.352106845,2972.6363827137493,3430.6137168814994,3654.428480475,19.7875,3.7561273240547153,2.056722433381738,1.4125872843163436,1.0,1.0,1.0,12.830764633227483,7.556196044242436,50.0,50.0,50.0,16.688729758943445,8.972799507511526,6.139592580973347,50.0,2.719921875,1.340234375,1.94443359375,2.12493896484375,1.04705810546875,1.5190887451171875
6,255.65,48.14882920635615,4177.7250914625,5000.9717958599995,5001.11604233125,5001.24288979725,5001.862808775,25.565,5.873867609609021,3.040723332894598,2.1100796317421464,1.0,1.0,1.0,19.64570541477193,11.300032754886143,50.0,50.0,50.0,25.94761806111195,13.343792768431905,9.256272741340386,50.0,3.7744140625,1.52626953125,2.06474609375,2.948760986328125,1.1923980712890625,1.6130828857421875
7,301.25,55.15544807290943,4991.989085974999,5000.7159177075,5000.8975294887505,5001.148557450751,5003.787364375,30.125,7.498594104534282,3.824234013924672,2.696675770814006,1.0,1.0,1.0,25.433634681586888,14.699082932315315,50.0,50.0,50.0,33.626570707031966,17.24069865614181,12.157467208488821,50.0,5.9310546875,1.73798828125,2.24443359375,4.633636474609375,1.3578033447265625,1.7534637451171875
8,311.875,51.38905410408172,4573.618949725,5000.5880106899995,5000.7872565525,5001.0734521350005,5002.789727625,31.1875,9.123860228228299,4.616417299844381,3.244564257767409,1.075,1.0,1.0,29.93429399585124,17.65528295514428,50.0,50.0,50.0,39.04790882585098,20.824155200571468,14.486410709717097,50.0,7.29921875,1.80576171875,2.280859375,5.409278869628906,1.4107513427734375,1.78192138671875
9,317.45,42.68257488049922,3686.372550275,4712.0875675325005,4832.861950505,4985.848614135,5001.8874387,31.744999999999997,11.314542716194286,5.503547038096705,3.7123827754110055,1.175,1.0,1.0,34.74625506041792,20.625512618340714,50.0,50.0,50.0,45.08124087217471,24.498135809196235,16.752889427485194,50.0,8.0826171875,1.8830078125,2.29521484375,5.6418609619140625,1.471099853515625,1.7931365966796875
10,326.825,29.91644254446216,2561.0932316999997,4255.41460296,4485.4967039924995,4875.61292447875,5001.779831575,32.6825,13.11863648051837,6.366267850965028,4.297881167518215,1.45,1.075,1.0,35.546761226762804,23.248599355556014,50.0,50.0,50.0,43.96592710553911,27.40841844853739,19.28280328765264,50.0,9.069921875,2.15390625,2.29921875,5.2733612060546875,1.5486526489257812,1.7962646484375
11,309.875,17.516963880610998,1529.1129453125,3536.4043735600003,3934.20036215625,4590.464266251749,4994.874825774999,30.9875,15.611971594376149,7.365057649955382,4.998959261652214,1.775,1.25,1.0,34.60656411212616,25.335991962852532,50.0,50.0,50.0,41.17932704515933,28.755023108929926,22.476719574539135,50.0,9.78134765625,2.56103515625,2.3111328125,4.506378173828125,1.6030120849609375,1.805572509765625
12,311.4,11.763741492434741,990.526945575,3153.6012817175006,3539.4400537262504,4319.8628226855,4883.42345485,31.139999999999997,18.25015943742295,8.745037032518779,5.788313659433493,1.775,1.325,1.0,38.96484329990501,28.684352418510134,50.0,50.0,50.0,47.77835220874662,32.41961322518438,25.71181744215712,50.0,9.93388671875,2.859765625,2.35830078125,4.581794738769531,1.71875,1.8424224853515625
13,306.2,6.868559601415674,565.81087105,2693.6591575925004,3121.623726232499,4101.181874024,4785.8657992,30.619999999999997,21.54056784473048,10.098116295632774,6.554473121149466,1.9,1.4,1.0,42.35086662767346,31.930524404504894,50.0,50.0,50.0,50.2167142627017,35.81983018014925,28.928062875491122,50.0,10.16796875,2.8779296875,2.38759765625,4.289512634277344,1.6600418090820312,1.8653106689453125
14,304.575,3.713423940223334,323.637872325,2453.2858656350004,2836.5942083487494,3774.794440200498,4838.01271465,30.4575,24.587160707299372,11.646943661323691,7.575049196815198,1.975,1.475,1.0,44.703033024342275,33.732899062458884,50.0,50.0,50.0,52.11948197293175,37.17722756712075,31.35909017402376,50.0,10.46015625,3.0755859375,2.415625,4.1683197021484375,1.6623687744140625,1.88720703125
15,302.6,2.2981662172895767,221.74428281250002,2169.9890267550004,2632.4390140912487,3667.9504612644987,4701.672232075,30.26,27.321345348339825,13.279803272445099,8.691859231160262,2.0,1.575,1.0,46.068504181043984,34.932746457061214,50.0,50.0,50.0,54.30729326174777,37.36911369997527,33.9162603538792,50.0,10.4556640625,3.385546875,2.43564453125,4.0842437744140625,1.7323684692382812,1.9028472900390625
16,302.725,2.1056906692350057,190.7196049625,2106.6175058675003,2455.6904732599996,3343.4924359189995,4424.677897325,30.2725,30.815237124281992,14.85620910989994,9.515334271874385,2.0,1.8,1.1,45.42450390942044,32.254706139000845,50.0,50.0,50.0,57.51490154653775,33.10297438121903,33.21102333344016,50.0,10.32314453125,3.84765625,2.76796875,4.032478332519531,1.710205078125,1.9403076171875
17,300.65,1.8667809549956575,199.970687575,1884.688168135,2213.9335844887496,3184.3971282802513,4548.21382845,30.064999999999998,34.06505066027256,16.5600797101017,10.676469188981283,2.0,2.0,1.325,44.754916385155255,29.04746445970785,50.0,50.0,50.0,60.358513167213495,29.15131960309703,30.788265479009926,50.0,10.29736328125,4.1998046875,3.2798828125,4.022407531738281,1.6405487060546875,2.0023345947265625
18,297.9,2.865412714863457,259.2742448875,1883.5628453550003,2195.8996157899996,3065.3202800712475,4599.61346205,29.79,37.13407652481812,18.421741227987646,11.87566316066579,2.0,2.0,1.575,47.41528282753964,29.09344767786187,50.0,50.0,50.0,63.329674652024764,31.500891003054516,27.844420754951063,50.0,10.2013671875,3.89140625,3.80087890625,3.9849090576171875,1.52008056640625,1.9441604614257812
19,299.15,3.5248828074999743,363.8789370125,1902.8321302675001,2206.4359815712496,2926.9210361752494,4628.800996175,29.915,40.305106614036646,20.104446062854695,13.023960088377772,2.0,2.0,1.725,49.609940124234896,29.463599815650184,50.0,50.0,50.0,65.99304279112211,33.226837457347685,26.38656347721092,50.0,10.2986328125,3.82421875,4.1470703125,4.0229034423828125,1.49383544921875,1.8857574462890625
20,301.15,4.150786346534867,437.39319213749997,1910.1657698425001,2154.0301479762497,2910.1658691579987,4624.538468299999,30.115,43.435368506837364,21.891214988864487,14.399932751447741,2.125,2.0,1.825,50.910204739516615,30.56030928742706,50.0,50.0,50.0,66.75259575853124,35.030490809558664,26.68440284164178,50.0,10.77421875,3.85986328125,4.23662109375,3.9659818013509116,1.5077590942382812,1.8256378173828125
21,298.0,4.052624940300766,460.53567485,1870.6936602025003,2198.9894093049998,2902.796458725246,4207.256387125,29.8,46.79496862877571,23.227225212454243,15.612192984672436,2.325,2.0,1.875,50.95689034542197,31.439419988473038,50.0,50.0,50.0,65.68194327551798,36.223961797196026,27.19736047287064,50.0,11.2666015625,3.90595703125,4.4486328125,3.8707478841145835,1.5257644653320312,1.8859481811523438
22,303.35,4.061373532164635,435.6615243625,1940.5554435450001,2169.3275174399996,2698.443944130498,3839.8510608750003,30.335,50.15594990941821,24.79763050740102,16.684802425645906,2.75,2.0,1.975,48.16116703198303,31.19384663169968,50.0,50.0,50.0,58.95704271011395,36.92088034304952,25.482221303053144,50.0,12.46689453125,3.9494140625,4.6,3.6924362182617188,1.5427398681640625,1.8210601806640625
23,304.325,2.325031328167619,323.0299682,1609.6027768975,1919.106350935,2521.969788299247,3439.357571425,30.432499999999997,53.2839332267785,26.407440239326906,17.94377632358197,3.275,2.0,1.975,43.711146667825766,31.97080121376012,50.0,50.0,50.0,49.151948858559116,37.618582236401,26.38266963838108,50.0,13.1634765625,3.91240234375,4.5400390625,3.2001686096191406,1.5282821655273438,1.7977523803710938
24,304.6,1.5296662836898451,216.1072255,1218.9636019025004,1526.5217236325,2139.4073198394995,2952.521833075,30.46,56.601196612556194,28.158320613208353,19.018961715748752,3.275,2.0,2.0,44.64965308686143,32.239793671194676,50.0,50.0,50.0,50.23557795366459,38.32765816817426,26.151929174215088,50.0,12.8138671875,3.94990234375,4.6212890625,3.1633567810058594,1.5429306030273438,1.8051910400390625
25,300.125,1.2357418792726726,184.7520079875,1039.5974437525,1326.2199415462499,1795.4942150945003,2433.505580475,30.0125,59.80845231636497,29.677011432998153,20.082789955665458,3.475,2.0,2.0,42.99855475884853,32.34398828179006,50.0,50.0,50.0,46.74283998791554,38.26802516977688,26.419951393803238,50.0,12.4041015625,3.96123046875,4.63798828125,2.8403091430664062,1.5473556518554688,1.8117141723632812
26,301.525,1.0802096702676387,190.78861239999998,958.9946967225002,1203.0428059474998,1491.5385328255002,2243.1347134,30.152499999999996,63.00594467484797,31.267194200965633,21.170213320129797,3.6,2.0,2.0,41.887352777822954,32.57066833045526,50.0,50.0,50.0,44.34656528248973,38.400870874255304,26.74046578665523,50.0,12.3625,3.98916015625,4.63955078125,2.728716532389323,1.5582656860351562,1.8123245239257812
27,303.525,0.6176096708072655,149.99010896250002,815.9111161900001,987.11493049625,1396.1016969699983,2088.12469145,30.3525,65.78872410449885,32.65058147669561,22.17785389007976,3.65,2.0,2.0,41.18440006499738,32.217111578876136,50.0,50.0,50.0,43.12157980025974,38.184253628769035,26.249969528983236,50.0,12.16591796875,3.99765625,4.6296875,2.6154327392578125,1.56158447265625,1.8084716796875
28,301.1,0.1313286980740455,121.84948198750001,614.7815784625001,761.3375002324999,1032.0102423732499,1585.3324824000001,30.110000000000003,68.7728008163359,34.22080398364777,23.204357056860168,3.65,2.0,2.0,40.885903520985075,32.197227677163006,50.0,50.0,50.0,42.824610332624935,37.92252976082993,26.471925593496074,50.0,11.99814453125,4.00302734375,4.651953125,2.576548258463542,1.5636825561523438,1.817169189453125
29,301.35,0.10734034007035512,97.25321935,468.97238655499996,607.9512159524999,903.4403143402502,1471.858922425,30.135,71.5725105864665,35.67777984831202,24.111209153259775,3.675,2.0,2.0,40.263936842794195,31.757165917971587,50.0,50.0,50.0,41.970473736796244,37.69685875353274,25.81747308241044,50.0,11.75615234375,4.01748046875,4.65458984375,2.5149599711100263,1.5693283081054688,1.8181991577148438
30,300.525,0.10745404704361698,76.362716975,356.07274028,437.6110732249998,612.8342542194977,1321.408621725,30.0525,74.23396940403373,36.99592746252503,25.158398885011373,3.675,2.0,2.0,39.72347256294691,31.46890976472067,50.0,50.0,50.0,41.34349374194913,37.30863176468439,25.62918776475695,50.0,11.6703125,3.99541015625,4.6328125,2.494964599609375,1.5607070922851562,1.8096923828125
31,300.475,0.10757629655030106,72.458259375,317.9191972575,394.8811764825,609.4227464002499,1009.8219080749999,30.047500000000003,76.6879050434314,38.28794815146557,26.008944618009366,3.675,2.0,2.0,39.107435958963734,31.270803422742908,50.0,50.0,50.0,40.52416650557791,37.066189448285364,25.47541739720045,50.0,11.45478515625,3.9884765625,4.641015625,2.44720458984375,1.5579986572265625,1.812896728515625
32,300.725,0.07445066875108564,63.93435406249999,243.16848613500005,309.1083342774999,486.03134965749916,924.822554275,30.0725,78.43460653011196,39.11667341125443,26.519433532046225,3.7,2.0,2.0,37.99302477989028,30.46590941229882,50.0,50.0,50.0,39.2655071029508,36.15526105463178,24.77655776996587,50.0,11.43583984375,3.9994140625,4.6451171875,2.4173927307128906,1.5622711181640625,1.8144989013671875
33,300.425,0.02472677595628415,37.4332625875,217.15030219500005,271.4643900425,382.64118064749954,630.570248575,30.0425,79.45898606653012,39.786020082764125,26.904055627888443,3.7,2.0,2.0,37.232854489182635,29.99520507224915,50.0,50.0,50.0,38.403949064623035,35.58642608869411,24.40398405580418,50.0,11.346484375,3.97841796875,4.65126953125,2.3998451232910156,1.5540695190429688,1.8169021606445312
34,299.8,0.025168353972701795,55.56961596250001,203.29205921,244.06143651874999,350.24572886224985,533.022478975,29.98,80.02776438809555,40.13497616894436,27.228440410223016,3.7,2.0,2.0,36.358332990219004,29.531445470172912,50.0,50.0,50.0,37.36692340373314,34.99002695414867,24.072863986197156,50.0,11.277734375,3.96650390625,4.646875,2.38491694132487,1.5494155883789062,1.815185546875
35,300.3,0.03338907469342252,43.9181555625,197.62327184250003,243.02195770624994,353.65871219974974,522.618894725,30.03,80.67411864192363,40.59150251118659,27.44759832303733,3.725,2.0,2.0,35.40804754990183,29.050678435412056,50.0,50.0,50.0,36.09506047109544,34.56622006770477,23.535136803119347,50.0,11.1716796875,3.9947265625,4.62451171875,2.343006134033203,1.5604400634765625,1.8064498901367188
36,300.275,0.008223684210526315,33.0367907,144.47262922500002,193.5601471074998,287.62836012624985,468.21923184999997,30.027499999999996,81.15642939370092,40.9307485369755,27.83692154488744,3.725,2.0,2.0,34.311352920070064,28.36912676062509,50.0,50.0,50.0,35.04126213776544,33.421004420023735,23.317249101226448,50.0,11.250390625,3.9927734375,4.619921875,2.358856201171875,1.5596771240234375,1.804656982421875
37,299.925,0.0,46.2217461125,147.95584731000002,179.97751974875,252.01108890874974,305.046433825,29.9925,81.6686808495721,41.4225503744587,28.196262897211245,3.725,2.0,2.0,33.80239843842835,28.007128565250934,50.0,50.0,50.0,34.307244436787634,33.27777103566533,22.736486094836533,50.0,11.19375,3.97734375,4.62333984375,2.347634633382161,1.55364990234375,1.8059921264648438
38,300.025,0.0,53.2676616375,143.06369409000004,176.45632253625,243.65746385549997,298.39975715,30.002499999999998,82.3789433762223,41.913548324373664,28.429242164475987,3.725,2.0,2.0,33.142913701815935,27.588800865622026,50.0,50.0,50.0,33.555657756884116,32.770998790892165,22.40660294035189,50.0,11.13037109375,4.00048828125,4.6177734375,2.3345692952473955,1.5626907348632812,1.8038177490234375
