[INFO] Loading HPA1 runs (40 iterations)...
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa1_112152Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa1_122831Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa1_133549Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa1_144936Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa1_155625Z/unified_report.csv: 75 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa1_170221Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa1_180930Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa1_191608Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa1_210213Z/unified_report.csv: 75 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa1_220938Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa1_231836Z/unified_report.csv: 75 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_002522Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_013232Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_023929Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_034632Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_051850Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_062541Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_073151Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_083853Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_094607Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_105320Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_120039Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_140109Z/unified_report.csv: 75 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_150726Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_161337Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_172042Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_182636Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_193344Z/unified_report.csv: 75 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_203939Z/unified_report.csv: 75 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_214600Z/unified_report.csv: 75 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa1_225319Z/unified_report.csv: 75 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-16/dual_test_30rps_hpa1_000115Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-16/dual_test_30rps_hpa1_010741Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-16/dual_test_30rps_hpa1_021404Z/unified_report.csv: 75 rows, 29 cols
