bucket,k6_reqs,k6_fail_pct,k6_p50_ms,k6_p90_ms,k6_p95_ms,k6_p99_ms,k6_max_ms,k6_rps,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
0,14.575,0.0,26.09524665,38.111312680000005,49.866542493749975,83.81494834849997,94.00630175,1.4575,0.05142518693947481,0.04507243483023512,0.08184790916050123,1.0,1.0,1.0,0.007489632099449413,0.007589411846331632,50.0,0.006236676921671545,0.008742587277227284,0.006436236415435973,50.0,0.98935546875,0.98857421875,1.6396484375,0.7729339599609375,0.7723236083984375,1.280975341796875
1,69.075,0.0,9.1097319125,12.355517015,13.588874211249998,20.22583316299999,26.460575849999998,6.907500000000001,0.0674460100988677,0.047942726011771616,0.07835182669429544,1.0,1.0,1.0,0.09730215109549001,0.06709129720455768,50.0,0.1315588645170957,0.06304543767388436,0.07113715673523101,50.0,1.1611328125,1.035546875,1.699609375,0.907135009765625,0.80902099609375,1.32781982421875
2,129.075,0.0,8.9976039,10.2691896375,11.499715294999996,23.59388144849998,46.0451702,12.907499999999999,0.31380873234508716,0.15584208849614087,0.18041945864409542,1.0,1.0,1.0,0.8888764101226878,0.537207461562706,50.0,1.2306265815164343,0.5471262387289412,0.5272886843964708,50.0,1.82529296875,1.15390625,1.83466796875,1.4260101318359375,0.9014892578125,1.4333343505859375
3,184.05,0.0,8.8184913625,10.64680373,15.265630473749988,43.018498014750016,64.42557289999999,18.405,1.120162100411422,0.5445815428758544,0.4328815711893241,1.0,1.0,1.0,3.5434701376334226,1.9639249069381506,50.0,4.814203032707459,2.2727372425593866,1.6551125713169146,50.0,2.34951171875,1.25615234375,1.8978515625,1.8355560302734375,0.9813690185546875,1.482696533203125
4,220.375,0.0,9.62953055,101.90492883500005,161.9413418437499,295.98849565575,378.77131314999997,22.0375,2.172264726984004,1.126911176375779,0.8603585965612813,1.0,1.0,1.0,7.314543583628864,4.251737168262934,50.0,9.709673655391672,4.919413511866054,3.584060824659814,50.0,2.45234375,1.2921875,1.91162109375,1.9158935546875,1.009521484375,1.4934539794921875
5,197.475,8.611105492848116,726.3444805125,2489.0268435650005,2968.9267086249993,3458.7993944099994,3656.9091614,19.7475,3.5885923087163314,2.0218348742398207,1.462032031373349,1.0,1.0,1.0,12.353634743896052,7.577336362284605,50.0,15.84130212337648,8.865967364415624,6.288705360153587,50.0,2.60634765625,1.35302734375,1.95146484375,2.0362091064453125,1.0570526123046875,1.5245819091796875
6,253.675,47.07427569653102,4120.1064905125,4918.46807373,4931.94270797625,4970.2342648655,4992.14725435,25.3675,5.711447949618572,2.9379769517555676,2.1449643860436645,1.0,1.0,1.0,19.143897513541642,11.207800454774283,50.0,25.198951585216147,13.088843441867136,9.32675746768143,50.0,3.67099609375,1.49833984375,2.0392578125,2.8679656982421875,1.1705780029296875,1.593170166015625
7,301.8,55.37763937528389,4999.810443824999,5000.732792645,5000.9145593925,5001.153880417251,5003.46004005,30.18,7.453536522993995,3.8175653040569513,2.738412900113187,1.0,1.0,1.0,25.34272240308858,14.767199257006888,50.0,33.32879547568276,17.3566493304944,12.177749183519378,50.0,6.04921875,1.72431640625,2.2216796875,4.7259521484375,1.3471221923828125,1.735687255859375
8,303.65,54.10726338002844,4876.9007548624995,5000.6487835925,5000.8499231025,5001.1082596595,5003.0650225,30.365,9.053725798895668,4.564874422489185,3.2175357374213363,1.025,1.0,1.0,30.128834010079952,17.729499114207254,50.0,39.46905360667735,20.782307564947544,14.676690663466966,50.0,7.13173828125,1.81552734375,2.25927734375,5.498847961425781,1.4183807373046875,1.7650604248046875
9,313.95,47.38602849312805,4231.011666375,4892.938620495001,4937.791763667499,5001.0347241375,5003.101124,31.395,10.937095196137967,5.439001937942562,3.828702549392119,1.075,1.0,1.0,35.15703540339843,20.679078644066923,50.0,46.29453995502241,24.042004321826887,17.31615296630696,50.0,7.9828125,1.87314453125,2.28974609375,5.9484100341796875,1.4633941650390625,1.7888641357421875
10,312.5,41.23728005787778,3694.714943975,4432.3752912,4532.2963266325005,4786.975947992,4928.8792431,31.25,12.823662618171767,6.161126171568217,4.33423986481369,1.225,1.0,1.0,38.71772710279289,23.790041130618803,50.0,49.64649472535325,27.881233351793792,19.69884890944381,50.0,8.24609375,1.90947265625,2.3091796875,5.550994873046875,1.4917755126953125,1.804046630859375
11,306.325,34.88741870046609,3169.63885265,4114.6185706725,4278.53464926,4585.8424053829995,4865.569188275,30.6325,14.822938121565883,7.204027558491026,5.01970236595089,1.375,1.0,1.0,42.19152073331426,27.200466320195346,50.0,52.17382481655166,31.96043254115522,22.440500099235468,50.0,8.70947265625,1.9986328125,2.31435546875,5.310325622558594,1.561431884765625,1.8080902099609375
12,321.2,27.552869655076535,2342.0929957375,3847.4528620900005,4037.9668273162506,4508.666682136497,4902.6186356749995,32.12,17.23031644986907,8.214883438082484,5.6457703571184705,1.5,1.0,1.0,45.78618062101924,30.81370414511443,50.0,54.95215597970016,36.34207638952178,25.285331900707074,50.0,9.106640625,2.01279296875,2.32216796875,5.174522399902344,1.5724945068359375,1.8141937255859375
13,323.075,14.226586950069404,1182.9242124500001,3244.73588186,3559.2534111637497,4372.0608104035,4964.764843475,32.3075,19.72775543598467,9.410423201485358,6.460235339333456,1.725,1.0,1.0,47.0591799802516,34.35103893035242,50.0,53.12193922964589,40.50509860932581,28.196979251379037,50.0,9.50390625,2.122265625,2.3255859375,4.5441436767578125,1.65802001953125,1.816864013671875
14,304.625,4.706683273899037,368.516856675,2831.5066875625007,3443.5817917949994,4216.71653865925,4868.963511125,30.4625,22.414160171422633,10.533015185950134,7.3091322761021855,2.0,1.025,1.0,45.660228829790526,36.71728703669464,50.0,47.05196065669175,43.2522055017118,30.28336293333723,50.0,10.34423828125,2.19755859375,2.35693359375,4.040718078613281,1.6954803466796875,1.8413543701171875
15,298.625,3.4762050609826134,346.718684375,2486.07891065,2900.4835695737497,4026.2323895340005,4876.981362725,29.8625,25.989920843481332,12.004301578038465,8.246523745977193,2.0,1.075,1.0,48.555184602340134,38.190066577170555,50.0,51.185052448252875,44.508000090025476,32.15877721377798,50.0,10.60654296875,2.81435546875,2.4021484375,4.143180847167969,2.029266357421875,1.876678466796875
16,301.625,5.080099177804013,465.41178682500004,2433.8731166075004,2814.99718972625,3832.890133980749,4888.5635520000005,30.1625,29.216544697032198,13.758003796383083,9.392721605092774,2.0,1.225,1.0,49.863948702302984,38.54224902996921,50.0,54.78947971387038,43.57574476409735,34.27630170314261,50.0,10.73427734375,2.9708984375,2.45029296875,4.193077087402344,1.8602752685546875,1.9142913818359375
17,299.825,5.782155128017733,540.7237979,2225.34268809,2597.49034450375,3507.9528731872474,4642.484292024999,29.982499999999998,32.27082659994066,15.105744241621059,10.504978484590424,2.0,1.325,1.0,50.49372574455186,39.0274991079329,50.0,57.07540551007297,42.67603230275847,36.519267298123935,50.0,10.88779296875,3.08564453125,2.451171875,4.253044128417969,1.832427978515625,1.91497802734375
