bucket,k6_reqs,k6_fail_pct,k6_p50_ms,k6_p90_ms,k6_p95_ms,k6_p99_ms,k6_max_ms,k6_rps,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_parent_threshold_text-service,Combined_CPU_Utilization_Child__Parent__HPA_parent_threshold_user-mention,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
0,12.501794742950782,0.0,32.199156732191334,39.28863567961327,43.52994853438671,37.11248868406892,40.67527970455495,1.2501794742950783,0.01893998098542257,0.017558664222975265,0.024033453349911638,0.0,0.0,0.0,0.01544285539854135,0.006413115303144046,0.0,0.0,0.0,0.030918327571174065,0.0005455732920117518,0.012776176754262208,0.0,0.07487212144507793,0.005322271368130873,0.03201438932414729,0.05849384487896714,0.0041580245063522455,0.02501124165949011
1,18.009096704237113,0.0,0.24252361139297005,1.5524906540539558,1.2298485807131232,8.462235248841509,19.40160303347011,1.8009096704237115,0.07299722764098299,0.06284372492185515,0.05777342321743075,0.0,0.0,0.0,0.2633482783168514,0.21407488465902355,0.0,0.0,0.0,0.3420645997010292,0.252703239745923,0.2126204260915079,0.0,0.3436059752322702,0.10893910500887737,0.10006636349313075,0.26844216815021116,0.08510867578818546,0.07817684647900851
2,17.964905246419217,0.0,0.21386739145809405,0.4362420735295713,1.2694491689247416,11.142644221924613,18.658643786742896,1.7964905246419212,0.4149862833402347,0.1913683375605805,0.10339733900741392,0.0,0.0,0.0,1.2116911831548134,0.549071209276062,0.0,0.0,0.0,1.7708802433383033,0.8239447517424884,0.4815237905434354,0.0,0.5276341347925827,0.10101006800570242,0.10399645862155267,0.4122141678067052,0.07891411562945501,0.081247233298088
3,13.811552206720807,0.0,0.21082856594816302,1.8207415741773147,6.229826297574919,11.288818488373066,16.94451505367221,1.3811552206720799,0.6303672890768887,0.2505506236979671,0.23622465572748402,0.0,0.0,0.0,1.677546981109726,0.950745983675874,0.0,0.0,0.0,2.7008023069113793,1.1588555174783701,1.0272185572234254,0.0,0.11517281941861347,0.044264830675724905,0.051076634125456453,0.08997876517079174,0.034581898965410106,0.03990362041051282
4,16.178471767072093,0.0,48.4770466057721,327.33312335194654,438.2665631174171,649.7782696714354,702.405211802903,1.6178471767072087,0.9608317809793607,0.41247473707580934,0.3952074863505971,0.0,0.0,0.0,2.491447723250833,1.5904856315570142,0.0,0.0,0.0,4.152139235304486,1.7664401876750806,1.7616709052580857,0.0,0.11449903397157414,0.03960942735197318,0.06019374962872798,0.08945237029029227,0.03094486511872904,0.04702636689744372
5,22.762077661917843,13.717155766513478,1012.620819978128,2131.716996172177,1986.2178677869335,1774.090739282264,1656.6259830799022,2.276207766191785,1.1019048473461939,0.6437851507754446,0.39242401439538915,0.0,0.0,0.0,3.188989454240333,1.863204279433396,0.0,0.0,0.0,4.41848550378101,2.6677621265590687,1.7371176452745132,0.0,0.4929835277814687,0.10767262037810044,0.05526033194103133,0.38514338107927254,0.08411923467039106,0.043172134328930786
6,32.506054662840725,8.883066597559045,1136.519108931392,0.07113302810328646,0.053328808020763424,0.034983550067892985,1.4279144567183688,3.2506054662840733,0.895063821998587,0.5499331488504745,0.526910736137628,0.0,0.0,0.0,2.5291922100206548,2.004116145192623,0.0,0.0,0.0,3.7972571471402534,2.3474547205986025,2.338776446437335,0.0,1.1094697778841753,0.20803888101987228,0.14707084123347092,0.8667732639720122,0.16253037579677526,0.1148990947136491
7,11.206110970221703,2.6082364466861074,49.49563040051265,0.09529614157210405,0.08553756633768383,0.0851200363284049,3.9234218026718386,1.1206110970221699,1.0073242202443284,0.4650181390215352,0.39549057274015265,0.0,0.0,0.0,2.594375008451713,1.7692314606158637,0.0,0.0,0.0,3.8441494419266906,2.1431207731024866,1.978757222930047,0.0,1.5059606165977548,0.1684360289478809,0.1037082542644467,1.176531731716996,0.13159064761553194,0.08102207364409895
8,29.045664754411145,10.070174132424215,1033.2781965445156,0.1408261258437884,0.14719433646706676,0.1242296021753327,3.2623469599206687,2.904566475441113,1.0241498879543054,0.49078054172488406,0.5032893061688278,0.26674678283691855,0.0,0.0,3.2703057056845015,1.8476038882039476,0.0,0.0,0.0,6.015434926684545,2.189360274452727,2.255051161902781,0.0,1.012700656136997,0.09495250549434939,0.0699711264283622,0.6564511769327831,0.07418164491746042,0.054664942522157964
9,29.60418369601992,20.5179005569641,1928.3710226644287,688.2815327462822,484.4151909921245,68.71846559180705,2.0456979451798114,2.9604183696019937,0.9821946223907175,0.4835199579604527,0.5458650359188844,0.3848076442547927,0.0,0.0,4.827299673262367,1.985821482542956,0.0,0.0,0.0,9.799508533895422,2.1427565079279316,2.442986663636862,0.0,1.1255339048429511,0.10733470020496141,0.061895409976968,0.989343860393862,0.0838552345351261,0.04835578904450624
